case,q,rho_eff_Msun_pc3,offset_from_Gaia_sigma,fractional_RMS_Kz_0_to_1p2kpc
theory q_th,0.8012306745572348,0.010682402178888665,-0.2907422346032387,0.08580769778413114
Gaia best fit,0.7655950186128953,0.0117,0.0,0.0
